Tiles
*
11.36, 8.00, 10.00
*
0.00, 0.00, 0.00*False,PosZ*0, 0, 0
10.00, 0.00, 0.00*False,PosZ*10, 0, 0
9.00, 0.00, 0.00*False,PosZ*9, 0, 0
8.00, 0.00, 0.00*False,PosZ*8, 0, 0
7.00, 0.00, 0.00*False,PosZ*7, 0, 0
6.00, 0.00, 0.00*False,PosZ*6, 0, 0
5.00, 0.00, 0.00*False,PosZ*5, 0, 0
4.00, 0.00, 0.00*False,PosZ*4, 0, 0
3.00, 0.00, 0.00*False,PosZ*3, 0, 0
2.00, 0.00, 0.00*False,PosZ*2, 0, 0
1.00, 0.00, 0.00*False,PosZ*1, 0, 0
0.00, 0.00, 10.00*False,PosZ*0, 0, 10
10.00, 0.00, 10.00*False,PosZ*10, 0, 10
9.00, 0.00, 10.00*False,PosZ*9, 0, 10
8.00, 0.00, 10.00*False,PosZ*8, 0, 10
7.00, 0.00, 10.00*False,PosZ*7, 0, 10
6.00, 0.00, 10.00*False,PosZ*6, 0, 10
5.00, 0.00, 10.00*False,PosZ*5, 0, 10
4.00, 0.00, 10.00*False,PosZ*4, 0, 10
3.00, 0.00, 10.00*False,PosZ*3, 0, 10
2.00, 0.00, 10.00*False,PosZ*2, 0, 10
1.00, 0.00, 10.00*False,PosZ*1, 0, 10
0.00, 0.00, 9.00*False,PosZ*0, 0, 9
10.00, 0.00, 9.00*False,PosZ*10, 0, 9
9.00, 0.00, 9.00*False,PosZ*9, 0, 9
8.00, 0.00, 9.00*False,PosZ*8, 0, 9
7.00, 0.00, 9.00*False,PosZ*7, 0, 9
6.00, 0.00, 9.00*False,PosZ*6, 0, 9
4.00, 0.00, 9.00*False,PosZ*4, 0, 9
3.00, 0.00, 9.00*False,PosZ*3, 0, 9
2.00, 0.00, 9.00*False,PosZ*2, 0, 9
0.00, 0.00, 8.00*False,PosZ*0, 0, 8
10.00, 0.00, 8.00*False,PosZ*10, 0, 8
9.00, 0.00, 8.00*False,PosZ*9, 0, 8
8.00, 0.00, 8.00*False,PosZ*8, 0, 8
7.00, 0.00, 8.00*False,PosZ*7, 0, 8
6.00, 0.00, 8.00*False,PosZ*6, 0, 8
5.00, 0.00, 8.00*False,PosZ*5, 0, 8
5.00, 2.00, 8.00*False,PosZ*5, 2, 8
1.00, 2.00, 8.00*False,PosZ*1, 2, 8
4.00, 2.00, 8.00*False,PosZ*4, 2, 8
3.00, 2.00, 8.00*False,PosZ*3, 2, 8
2.00, 2.00, 8.00*False,PosZ*2, 2, 8
4.00, 0.00, 8.00*False,PosZ*4, 0, 8
3.00, 0.00, 8.00*False,PosZ*3, 0, 8
2.00, 0.00, 8.00*False,PosZ*2, 0, 8
1.00, 0.00, 8.00*False,PosZ*1, 0, 8
0.00, 0.00, 7.00*False,PosZ*0, 0, 7
10.00, 0.00, 7.00*False,PosZ*10, 0, 7
9.00, 0.00, 7.00*False,PosZ*9, 0, 7
8.00, 0.00, 7.00*False,PosZ*8, 0, 7
7.00, 0.00, 7.00*False,PosZ*7, 0, 7
6.00, 0.00, 7.00*False,PosZ*6, 0, 7
5.00, 0.00, 7.00*False,PosZ*5, 0, 7
5.00, 2.00, 7.00*False,PosZ*5, 2, 7
1.00, 2.00, 7.00*False,PosZ*1, 2, 7
4.00, 2.00, 7.00*False,PosZ*4, 2, 7
3.00, 2.00, 7.00*False,PosZ*3, 2, 7
2.00, 2.00, 7.00*False,PosZ*2, 2, 7
4.00, 0.00, 7.00*False,PosZ*4, 0, 7
3.00, 0.00, 7.00*False,PosZ*3, 0, 7
2.00, 0.00, 7.00*False,PosZ*2, 0, 7
1.00, 0.00, 7.00*False,PosZ*1, 0, 7
0.00, 0.00, 6.00*False,PosZ*0, 0, 6
10.00, 0.00, 6.00*False,PosZ*10, 0, 6
11.00, 0.00, 6.00*False,PosZ*11, 0, 6
9.00, 0.00, 6.00*False,PosZ*9, 0, 6
8.00, 0.00, 6.00*False,PosZ*8, 0, 6
7.00, 0.00, 6.00*False,PosZ*7, 0, 6
6.00, 0.00, 6.00*False,PosZ*6, 0, 6
